ABBREV|FULL_FLAG|GROUP|TYPE|DESCRIPTION
INTERACT|interactivity_enabled|VIEW|existing|Master gate — too coarse; proposed for decomposition into TIER_TOG + PAS_FILT
TIER_TOG|[P] tier_toggle_enabled|VIEW|proposed|Explicit T1<->T2 toggle button visibility; decoupled from filter access
DEF_TIER|[P] default_tier|VIEW|proposed|Which tier renders on first load: T1 or T2
PAS_FILT|[P] passive_filter_enabled|FILTER|proposed|Ephemeral curiosity exploration — does NOT change data; no audit trail; view resets on reload
T3_SAND|t3_sandbox_enabled|T3|existing|Active filter — creates T3 branch; requires justification; writes to audit trail; T2 never modified
CMP_MODE|comparison_mode_enabled|T3|existing|Compare T2 vs T3 side-by-side; requires T3_SAND to be meaningful
AUD_RPT|audit_report_enabled|T3|existing|Export consolidated audit report (HTML/PDF/DOCX)
SESS_MGT|session_management_enabled|SESS|existing|Session Management accordion visibility in sidebar
AUTOSAVE|ghost_save.enabled|SESS|existing|Autosave timer; must be gated on T3_SAND (SESSION-PERSONA-1 open)
EXP_BNDL|export_bundle_enabled|EXP|existing|Global ZIP export: plots + data + recipes + audit + README with 3 hashes
EXP_GRF|export_graph_enabled|EXP|existing|Single graph export (PNG/SVG + per-plot README)
META_ING|metadata_ingestion_enabled|ING|existing|Upload replacement metadata file (triggers T1 rebuild)
IMP_HLP|import_helper_enabled|ING|existing|External import helper panel
DAT_ING|data_ingestion_enabled|ING|existing|Raw data file / Excel upload
IMP_PNL|data_import_panel_visible|ING|existing|Parent data import accordion panel visibility (container for META_ING + IMP_HLP + DAT_ING)
GALLERY|gallery_enabled|DEV|existing|Gallery browser (34 recipes; 6-axis taxonomy)
DEV_MODE|developer_mode_enabled|DEV|existing|Enables Blueprint Architect + Test Lab
WRNG_STU|wrangle_studio_enabled|DEV|existing|Advanced recipe editor (Wrangle Studio)
TEST_LAB|test_lab_enabled|DEV|existing|Test Lab visibility; currently derived from DEV_MODE — no separate flag yet
PRS_BADGE|show_persona_badge|UI|existing|Shows Active: persona-name badge in nav header
MAN_SEL|manifest_selector.visible|UI|existing|Manifest choice dropdown visibility in sidebar
MAN_FIX|manifest_selector.fixed_manifest|UI|existing|If set: locks manifest to a specific file; null = free user choice
UI_TITLE|ui_branding.title|UI|existing(web-demo only)|Project/pipeline title shown next to logo; web-demo template has this field; proposed to standardize
UI_SUBT|ui_branding.subtitle|UI|existing(web-demo only)|Subtitle line; same as UI_TITLE
SHOW_NAV|[P] show_navigation|UI|proposed|Hides nav pills strip (Home / Blueprint / Test Lab / Gallery); false = clean static display
SDB_PROF|[P] sidebar_profile|UI|proposed|Named sidebar layout profile (standard/minimal/custom); deferred Phase 27+ — requires sidebar modularization
